64.62.197.218 - - [16/Mar/2023:01:21:47 +0900] "-" 400 2163
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/js/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/core-img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/css/pe-icon-7-stroke.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/core-img/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/core-img/logo-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/core-img/envelope.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/core-img/active.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/img/bg-img/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:11 +0900] "GET /MavenSample2/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:17 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:17 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:17 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/portfolio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/p11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/core-img/map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/core-img/smartphone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/core-img/envelope-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/img/bg-img/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:08:59:35 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:10 +0900] "GET /MavenSample2/index.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/about-me.html HTTP/1.1" 200 15584
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/about-me.jpg HTTP/1.1" 200 62526
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/core-img/heart.png HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/core-img/photo-camera.png HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/core-img/video-camera.png HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/i5.jpg HTTP/1.1" 200 86449
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/i2.jpg HTTP/1.1" 200 17487
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/i1.jpg HTTP/1.1" 200 21459
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/i3.jpg HTTP/1.1" 200 21619
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/i6.jpg HTTP/1.1" 200 25634
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/i4.jpg HTTP/1.1" 200 10468
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:13 +0900] "GET /MavenSample2/img/bg-img/i7.jpg HTTP/1.1" 200 40398
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:16 +0900] "GET /MavenSample2/blog.html HTTP/1.1" 200 14063
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:16 +0900] "GET /MavenSample2/img/bg-img/b1.jpg HTTP/1.1" 200 151768
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:16 +0900] "GET /MavenSample2/img/bg-img/b2.jpg HTTP/1.1" 200 62211
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:16 +0900] "GET /MavenSample2/img/bg-img/b3.jpg HTTP/1.1" 200 243391
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:18 +0900] "GET /MavenSample2/contact.html HTTP/1.1" 200 15027
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:18 +0900] "GET /MavenSample2/js/map-active.js HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:34 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:34 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:01:34 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:05:07 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:05:07 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:09:05:07 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
127.0.0.1 - - [16/Mar/2023:10:13:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/images/pic01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/images/pic03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/images/pic04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/images/pic05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/images/pic06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:13:42 +0900] "GET /MessageSystem/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:14:38 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8461
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:14:48 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8461
127.0.0.1 - - [16/Mar/2023:10:15:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:15:43 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:15:53 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8465
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:16:06 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
127.0.0.1 - - [16/Mar/2023:10:18:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:18:50 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:19:00 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8834
127.0.0.1 - - [16/Mar/2023:10:22:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:22:45 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:22:53 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8465
127.0.0.1 - - [16/Mar/2023:10:24:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:24:27 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:24:37 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8465
127.0.0.1 - - [16/Mar/2023:10:27:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:28:00 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:28:09 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8462
127.0.0.1 - - [16/Mar/2023:10:35:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:35:26 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:35:36 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 4208
127.0.0.1 - - [16/Mar/2023:10:41:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:41:54 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:42:01 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8462
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:42:18 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8075
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:42:27 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8462
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:43:02 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:43:08 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8453
127.0.0.1 - - [16/Mar/2023:10:44:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:44:56 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:45:02 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 8473
127.0.0.1 - - [16/Mar/2023:10:45:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:45:54 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:46:00 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 3927
127.0.0.1 - - [16/Mar/2023:10:49:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:49:22 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:49:28 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 3923
127.0.0.1 - - [16/Mar/2023:10:51:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:51:00 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:51:07 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:55:36 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 1754
127.0.0.1 - - [16/Mar/2023:10:55:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:55:55 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [16/Mar/2023:10:56:04 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 181
127.0.0.1 - - [16/Mar/2023:11:03:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:03:56 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7133
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:04:03 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7153
127.0.0.1 - - [16/Mar/2023:11:47:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:47:22 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:47:45 +0900] "POST /MessageSystem/joinService HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:48:22 +0900] "POST /MessageSystem/joinService HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:48:30 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:48:34 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 3314
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:49:52 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:49:57 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 3314
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:51:03 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:51:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:51:06 +0900] "POST /MessageSystem/loginService HTTP/1.1" 500 3314
127.0.0.1 - - [16/Mar/2023:11:52:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:52:58 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:52:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:53:03 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7192
127.0.0.1 - - [16/Mar/2023:11:53:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:53:47 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [16/Mar/2023:11:53:51 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7200
167.71.133.68 - - [16/Mar/2023:12:04:59 +0900] "GET /aaa9 HTTP/1.1" 404 811
167.71.133.68 - - [16/Mar/2023:12:05:00 +0900] "GET /aab8 HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:23:13 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:23:29 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:23:45 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:23:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:23:50 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:24:25 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7224
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:24:30 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7224
127.0.0.1 - - [16/Mar/2023:12:28:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:28:14 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:28:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:28:20 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:28:27 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:30:35 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:30:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:30:39 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:31:16 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:31:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:31:20 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7206
64.226.86.253 - - [16/Mar/2023:12:42:23 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [16/Mar/2023:12:46:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:46:49 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 500 2559
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:46:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:47:09 +0900] "GET /MessageSystem/main.jsp HTTP/1.1" 200 7299
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:47:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2023:12:47:13 +0900] "POST /MessageSystem/loginService HTTP/1.1" 200 7334
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:26:07 +0900] "GET /MavenSample2/js/popper.min.js.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:26:07 +0900] "GET /MavenSample2/js/bootstrap.min.js.map HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [16/Mar/2023:14:26:07 +0900] "GET /MavenSample2/css/bootstrap.min.css.map HTTP/1.1" 404 853
